governor,state,time_in_office,party,year
Jack Dalrymple,North Dakota,2010 - 2016,,2016
Neil Abercrombie,Hawaii,2010 - 2014,Democrat,2010
Neil Abercrombie,Hawaii,2010 - 2014,Democrat,2011
Neil Abercrombie,Hawaii,2010 - 2014,Democrat,2012
Neil Abercrombie,Hawaii,2010 - 2014,Democrat,2013
Neil Abercrombie,Hawaii,2010 - 2014,Democrat,2014
Christopher Christie,New Jersey,2010 - 2018,Republican,2010
Christopher Christie,New Jersey,2010 - 2018,Republican,2011
Christopher Christie,New Jersey,2010 - 2018,Republican,2012
Christopher Christie,New Jersey,2010 - 2018,Republican,2013
Christopher Christie,New Jersey,2010 - 2018,Republican,2014
Christopher Christie,New Jersey,2010 - 2018,Republican,2015
Christopher Christie,New Jersey,2010 - 2018,Republican,2016
Christopher Christie,New Jersey,2010 - 2018,Republican,2017
Christopher Christie,New Jersey,2010 - 2018,Republican,2018
Robert McDonnell,Virginia,2010 - 2014,Republican,2010
Robert McDonnell,Virginia,2010 - 2014,Republican,2011
Robert McDonnell,Virginia,2010 - 2014,Republican,2012
Robert McDonnell,Virginia,2010 - 2014,Republican,2013
Robert McDonnell,Virginia,2010 - 2014,Republican,2014
Sean Parnell,Alaska,2009 - 2014,Republican,2009
Sean Parnell,Alaska,2009 - 2014,Republican,2010
Sean Parnell,Alaska,2009 - 2014,Republican,2011
Sean Parnell,Alaska,2009 - 2014,Republican,2012
Sean Parnell,Alaska,2009 - 2014,Republican,2013
Sean Parnell,Alaska,2009 - 2014,Republican,2014
Mark Parkinson,Kansas,2009 - 2011,Democrat,2009
Mark Parkinson,Kansas,2009 - 2011,Democrat,2010
Mark Parkinson,Kansas,2009 - 2011,Democrat,2011
Pat Quinn,Illinois,2009 - 2015,Democrat,2009
Pat Quinn,Illinois,2009 - 2015,Democrat,2010
Pat Quinn,Illinois,2009 - 2015,Democrat,2011
Pat Quinn,Illinois,2009 - 2015,Democrat,2012
Pat Quinn,Illinois,2009 - 2015,Democrat,2013
Pat Quinn,Illinois,2009 - 2015,Democrat,2014
Pat Quinn,Illinois,2009 - 2015,Democrat,2015
Jan Brewer,Arizona,2009 - 2015,Republican,2009
Jan Brewer,Arizona,2009 - 2015,Republican,2010
Jan Brewer,Arizona,2009 - 2015,Republican,2011
Jan Brewer,Arizona,2009 - 2015,Republican,2012
Jan Brewer,Arizona,2009 - 2015,Republican,2013
Jan Brewer,Arizona,2009 - 2015,Republican,2014
Jan Brewer,Arizona,2009 - 2015,Republican,2015
Jack Markell,Delaware,2009 - 2017,Democrat,2009
Jack Markell,Delaware,2009 - 2017,Democrat,2010
Jack Markell,Delaware,2009 - 2017,Democrat,2011
Jack Markell,Delaware,2009 - 2017,Democrat,2012
Jack Markell,Delaware,2009 - 2017,Democrat,2013
Jack Markell,Delaware,2009 - 2017,Democrat,2014
Jack Markell,Delaware,2009 - 2017,Democrat,2015
Jack Markell,Delaware,2009 - 2017,Democrat,2016
Jack Markell,Delaware,2009 - 2017,Democrat,2017
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2009
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2010
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2011
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2012
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2013
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2014
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2015
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2016
Jeremiah W. (Jay) Nixon,Missouri,2009 - 2017,Democrat,2017
Bev Perdue,North Carolina,2009 - 2013,Democrat,2009
Bev Perdue,North Carolina,2009 - 2013,Democrat,2010
Bev Perdue,North Carolina,2009 - 2013,Democrat,2011
Bev Perdue,North Carolina,2009 - 2013,Democrat,2012
Bev Perdue,North Carolina,2009 - 2013,Democrat,2013
Luis G. Fortuño,Puerto Rico,2009 - 2013,New Progressive Party (Puerto Rico),2009
Luis G. Fortuño,Puerto Rico,2009 - 2013,New Progressive Party (Puerto Rico),2010
Luis G. Fortuño,Puerto Rico,2009 - 2013,New Progressive Party (Puerto Rico),2011
Luis G. Fortuño,Puerto Rico,2009 - 2013,New Progressive Party (Puerto Rico),2012
Luis G. Fortuño,Puerto Rico,2009 - 2013,New Progressive Party (Puerto Rico),2013
David A. Paterson,New York,2008 - 2011,Democrat,2008
David A. Paterson,New York,2008 - 2011,Democrat,2009
David A. Paterson,New York,2008 - 2011,Democrat,2010
David A. Paterson,New York,2008 - 2011,Democrat,2011
Bobby Jindal,Louisiana,2008 - 2016,Republican,2008
Bobby Jindal,Louisiana,2008 - 2016,Republican,2009
Bobby Jindal,Louisiana,2008 - 2016,Republican,2010
Bobby Jindal,Louisiana,2008 - 2016,Republican,2011
Bobby Jindal,Louisiana,2008 - 2016,Republican,2012
Bobby Jindal,Louisiana,2008 - 2016,Republican,2013
Bobby Jindal,Louisiana,2008 - 2016,Republican,2014
Bobby Jindal,Louisiana,2008 - 2016,Republican,2015
Bobby Jindal,Louisiana,2008 - 2016,Republican,2016
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2007
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2008
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2009
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2010
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2011
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2012
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2013
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2014
Steven L. Beshear,Kentucky,2007 - 2015,Democrat,2015
Martin O’Malley,Maryland,2007 - 2015,Democrat,2007
Martin O’Malley,Maryland,2007 - 2015,Democrat,2008
Martin O’Malley,Maryland,2007 - 2015,Democrat,2009
Martin O’Malley,Maryland,2007 - 2015,Democrat,2010
Martin O’Malley,Maryland,2007 - 2015,Democrat,2011
Martin O’Malley,Maryland,2007 - 2015,Democrat,2012
Martin O’Malley,Maryland,2007 - 2015,Democrat,2013
Martin O’Malley,Maryland,2007 - 2015,Democrat,2014
Martin O’Malley,Maryland,2007 - 2015,Democrat,2015
Chet Culver,Iowa,2007 - 2011,Democrat,2007
Chet Culver,Iowa,2007 - 2011,Democrat,2008
Chet Culver,Iowa,2007 - 2011,Democrat,2009
Chet Culver,Iowa,2007 - 2011,Democrat,2010
Chet Culver,Iowa,2007 - 2011,Democrat,2011
Bill Ritter,Colorado,2007 - 2011,Democrat,2007
Bill Ritter,Colorado,2007 - 2011,Democrat,2008
Bill Ritter,Colorado,2007 - 2011,Democrat,2009
Bill Ritter,Colorado,2007 - 2011,Democrat,2010
Bill Ritter,Colorado,2007 - 2011,Democrat,2011
Mike Beebe,Arkansas,2007 - 2015,Democrat,2007
Mike Beebe,Arkansas,2007 - 2015,Democrat,2008
Mike Beebe,Arkansas,2007 - 2015,Democrat,2009
Mike Beebe,Arkansas,2007 - 2015,Democrat,2010
Mike Beebe,Arkansas,2007 - 2015,Democrat,2011
Mike Beebe,Arkansas,2007 - 2015,Democrat,2012
Mike Beebe,Arkansas,2007 - 2015,Democrat,2013
Mike Beebe,Arkansas,2007 - 2015,Democrat,2014
Mike Beebe,Arkansas,2007 - 2015,Democrat,2015
Ted Strickland,Ohio,2007 - 2011,Democrat,2007
Ted Strickland,Ohio,2007 - 2011,Democrat,2008
Ted Strickland,Ohio,2007 - 2011,Democrat,2009
Ted Strickland,Ohio,2007 - 2011,Democrat,2010
Ted Strickland,Ohio,2007 - 2011,Democrat,2011
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2007
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2008
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2009
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2010
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2011
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2012
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2013
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2014
Deval Patrick,Massachusetts,2007 - 2015,Democrat,2015
Charlie Crist,Florida,2007 - 2011,Republican,2007
Charlie Crist,Florida,2007 - 2011,Republican,2008
Charlie Crist,Florida,2007 - 2011,Republican,2009
Charlie Crist,Florida,2007 - 2011,Republican,2010
Charlie Crist,Florida,2007 - 2011,Republican,2011
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2007
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2008
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2009
C.L. “Butch” Otter,Idaho,2007 - 2019,Republican,2010
